Experiment:, list18,,,,,,,,
Stimuli for Condition 1:,,,,,,,,,
Stim Pair 1:Sample: , [ 0.333 0.050, 0.050 0.667, 0.050 0.333, 0.950 0.950 ],Novel: , [ 0.333 0.333, 0.950 0.333, 0.667 0.950, 0.050 0.050 ] 
Stim Pair 11:Sample: , [ 0.333 0.950, 0.333 0.050, 0.667 0.950, 0.050 0.050 ],Novel: , [ 0.950 0.333, 0.333 0.667, 0.950 0.050, 0.333 0.333 ] 
Stim Pair 12:Sample: , [ 0.667 0.050, 0.333 0.950, 0.050 0.667, 0.667 0.667 ],Novel: , [ 0.333 0.333, 0.950 0.667, 0.333 0.050, 0.950 0.333 ] 
Stim Pair 13:Sample: , [ 0.667 0.667, 0.333 0.667, 0.667 0.333, 0.950 0.950 ],Novel: , [ 0.333 0.950, 0.333 0.333, 0.667 0.050, 0.050 0.050 ] 
Stim Pair 14:Sample: , [ 0.050 0.333, 0.950 0.333, 0.667 0.667, 0.950 0.950 ],Novel: , [ 0.950 0.050, 0.667 0.050, 0.333 0.050, 0.333 0.333 ] 
Stim Pair 15:Sample: , [ 0.950 0.950, 0.050 0.050, 0.667 0.333, 0.950 0.333 ],Novel: , [ 0.050 0.950, 0.667 0.050, 0.950 0.050, 0.667 0.667 ] 
Stim Pair 16:Sample: , [ 0.667 0.950, 0.050 0.050, 0.333 0.667, 0.667 0.667 ],Novel: , [ 0.667 0.050, 0.050 0.667, 0.050 0.333, 0.333 0.333 ] 
Stim Pair 17:Sample: , [ 0.050 0.333, 0.333 0.950, 0.333 0.667, 0.950 0.333 ],Novel: , [ 0.050 0.950, 0.050 0.667, 0.667 0.950, 0.333 0.333 ] 
Stim Pair 18:Sample: , [ 0.050 0.950, 0.050 0.050, 0.050 0.667, 0.950 0.050 ],Novel: , [ 0.333 0.950, 0.333 0.333, 0.950 0.333, 0.667 0.050 ] 

Stimuli for Condition 4:,,,,,,,,,
Stim Pair 1:Sample: , [ 0.950 0.050, 0.050 0.333, 0.950 0.950, 0.050 0.667 ],Novel: , [ 0.950 0.667, 0.050 0.950, 0.050 0.050, 0.333 0.050 ] 
Stim Pair 2:Sample: , [ 0.667 0.667, 0.333 0.050, 0.050 0.333, 0.333 0.950 ],Novel: , [ 0.333 0.333, 0.950 0.667, 0.667 0.050, 0.667 0.950 ] 
Stim Pair 3:Sample: , [ 0.333 0.667, 0.950 0.950, 0.950 0.667, 0.667 0.333 ],Novel: , [ 0.950 0.333, 0.667 0.950, 0.050 0.950, 0.050 0.333 ] 
Stim Pair 4:Sample: , [ 0.950 0.950, 0.050 0.050, 0.333 0.667, 0.950 0.667 ],Novel: , [ 0.667 0.667, 0.667 0.050, 0.333 0.050, 0.050 0.667 ] 
Stim Pair 5:Sample: , [ 0.333 0.333, 0.667 0.333, 0.667 0.667, 0.050 0.667 ],Novel: , [ 0.050 0.950, 0.333 0.050, 0.950 0.333, 0.667 0.950 ] 
Stim Pair 6:Sample: , [ 0.333 0.667, 0.667 0.333, 0.333 0.050, 0.333 0.950 ],Novel: , [ 0.950 0.667, 0.950 0.950, 0.950 0.050, 0.050 0.333 ] 
Stim Pair 7:Sample: , [ 0.050 0.950, 0.667 0.333, 0.050 0.333, 0.050 0.050 ],Novel: , [ 0.050 0.667, 0.333 0.333, 0.950 0.950, 0.950 0.050 ] 
Stim Pair 8:Sample: , [ 0.667 0.050, 0.050 0.667, 0.950 0.333, 0.333 0.050 ],Novel: , [ 0.333 0.667, 0.950 0.950, 0.667 0.667, 0.050 0.333 ] 
Stim Pair 9:Sample: , [ 0.950 0.333, 0.950 0.050, 0.050 0.050, 0.333 0.950 ],Novel: , [ 0.667 0.050, 0.667 0.667, 0.333 0.050, 0.050 0.950 ] 
Stim Pair 10:Sample: , [ 0.050 0.333, 0.050 0.950, 0.667 0.667, 0.333 0.333 ],Novel: , [ 0.950 0.333, 0.667 0.950, 0.050 0.050, 0.950 0.050 ] 
Stim Pair 11:Sample: , [ 0.667 0.667, 0.667 0.050, 0.667 0.950, 0.950 0.050 ],Novel: , [ 0.050 0.050, 0.333 0.050, 0.950 0.667, 0.950 0.333 ] 
Stim Pair 12:Sample: , [ 0.333 0.667, 0.333 0.333, 0.667 0.950, 0.333 0.950 ],Novel: , [ 0.050 0.667, 0.050 0.333, 0.333 0.050, 0.950 0.667 ] 
Stim Pair 13:Sample: , [ 0.050 0.333, 0.950 0.050, 0.050 0.050, 0.950 0.667 ],Novel: , [ 0.050 0.950, 0.667 0.667, 0.667 0.050, 0.333 0.333 ] 
Stim Pair 14:Sample: , [ 0.050 0.050, 0.950 0.333, 0.333 0.950, 0.950 0.050 ],Novel: , [ 0.667 0.333, 0.667 0.050, 0.667 0.950, 0.667 0.667 ] 
Stim Pair 15:Sample: , [ 0.333 0.950, 0.667 0.333, 0.667 0.050, 0.950 0.950 ],Novel: , [ 0.950 0.667, 0.050 0.333, 0.050 0.950, 0.050 0.050 ] 
Stim Pair 16:Sample: , [ 0.667 0.050, 0.950 0.333, 0.667 0.667, 0.333 0.950 ],Novel: , [ 0.667 0.950, 0.667 0.333, 0.950 0.950, 0.950 0.667 ] 
Stim Pair 17:Sample: , [ 0.333 0.333, 0.050 0.667, 0.950 0.050, 0.050 0.050 ],Novel: , [ 0.333 0.950, 0.667 0.667, 0.667 0.333, 0.950 0.333 ] 
Stim Pair 18:Sample: , [ 0.333 0.950, 0.333 0.050, 0.667 0.333, 0.333 0.667 ],Novel: , [ 0.050 0.333, 0.050 0.950, 0.050 0.050, 0.333 0.333 ] 

NUM_ROWS = 200, A: 0.200  B: 0.400,,,,,,,,
PEAK_SIZE: 1, (9 winners if 1, 13 winners if 2),,,,,,,
Total training conditions: 1 ,Steps: ,100,,,,,,,
Total encoding conditions: 1 ,Steps: ,20,,,,,,,
No interference.,,,,,,,,,
Num input dims conditions: 3,,,,,,,,,


 ,Stim Cond:  1,,,,,,,,
 ,Rat ,Dscore Intact,,Dscore Lesion,,Dscore PRh of Control,,Dscore Caud of Control ,
 ,1,0.339962,,0.105888,,0.570058,,0.109866,
 ,2,0.339831,,0.11101,,0.569668,,0.109994,
 ,3,0.32457,,0.111692,,0.540881,,0.108259,
 ,4,0.339469,,0.109019,,0.569669,,0.109269,
 ,5,0.32938,,0.109367,,0.546158,,0.112602
 ,6,0.341611,,0.107226,,0.571578,,0.111644
 ,Average,0.335804,,0.109034,,0.561335,,0.110272
 ,SEM,0.00315,,0.000985,,0.006224,,0.00071


 ,Stim Cond:  2,,,,,,,
 ,Rat ,Dscore Intact,,Dscore Lesion,,Dscore PRh of Control,,Dscore Caud of Control 
 ,1,0.333296,,0.087887,,0.571101,,0.095491
 ,2,0.341612,,0.094478,,0.589659,,0.093566
 ,3,0.318791,,0.094267,,0.548771,,0.08881
 ,4,0.324746,,0.090112,,0.554264,,0.095227
 ,5,0.342916,,0.088169,,0.590875,,0.094956
 ,6,0.336683,,0.09793,,0.585799,,0.087567
 ,Average,0.333007,,0.09214,,0.573412,,0.092603
 ,SEM,0.004272,,0.001805,,0.00825,,0.001568


 ,Stim Cond:  3,,,,,,,
 ,Rat ,Dscore Intact,,Dscore Lesion,,Dscore PRh of Control,,Dscore Caud of Control 
 ,1,0.352696,,0.149629,,0.549581,,0.15581
 ,2,0.355897,,0.156673,,0.557642,,0.154152
 ,3,0.358197,,0.160106,,0.562873,,0.153522
 ,4,0.362494,,0.15717,,0.568569,,0.156419
 ,5,0.354745,,0.150956,,0.552182,,0.157307
 ,6,0.354079,,0.149054,,0.551425,,0.156733
 ,Average,0.356351,,0.153931,,0.557045,,0.155657
 ,SEM,0.001581,,0.002072,,0.003335,,0.000673


 ,Stim Cond:  4,,,,,,,
 ,Rat ,Dscore Intact,,Dscore Lesion,,Dscore PRh of Control,,Dscore Caud of Control 
 ,1,0.361863,,0.126055,,0.58582,,0.137906
 ,2,0.348869,,0.132916,,0.56352,,0.134218
 ,3,0.361646,,0.136214,,0.589995,,0.133297
 ,4,0.354293,,0.124269,,0.578114,,0.130472
 ,5,0.358844,,0.140422,,0.584976,,0.132711
 ,6,0.350253,,0.128251,,0.564294,,0.136212
 ,Average,0.355961,,0.131354,,0.577787,,0.134136
 ,SEM,0.002539,,0.002801,,0.005103,,0.001178
